Series Name	Series Code	Country Name	Country Code	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Pakistan	PAK	..	..	19.6	..	23.1	..	..	26.5	..	..	19.7	18.8	..	16.5	..	..	12	11.5	..	9.6	..	7.8	..	..	7.9
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Palau	PLW	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Panama	PAN	..	14.9	..	13.3	13.7	12	10.4	12.9	9.3	9.2	8.4	8	8.8	6.6	4.3	3	3.8	2.9	3.6	2.7	3.1	2.1	2.1	2.2	1.7
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Papua New Guinea	PNG	..	..	38.4	..	..	..	..	..	..	..	..	..	..	..	..	30.2	..	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Paraguay	PRY	..	10.1	..	8.5	..	8.2	..	7.2	10.6	6.9	5.2	5.1	6.8	6.1	4	4.6	4.6	4.4	2.9	1.9	2.1	1.9	1.8	1.1	1.4
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Peru	PER	..	..	..	14.2	13.7	13.9	13.3	14.1	12.4	10.5	11.4	12.7	10.9	9.2	7.5	6.3	5	4.6	4.3	3.9	3.5	3.5	3.3	3.2	2.6
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Philippines	PHL	..	..	..	..	..	..	12.4	..	..	11.9	..	..	12.8	..	..	10.5	..	..	10.2	..	..	7	..	..	3.9
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Poland	POL	..	..	..	..	..	..	..	..	..	..	1.8	0.8	0.6	0.4	0.2	0.3	0.3	0.3	0.2	0.4	0.4	0.3	0.2	0.3	0.2
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Portugal	PRT	..	..	..	..	..	..	..	..	..	0.8	0.4	0.5	0.1	0.3	0.2	0.2	0.1	0.4	0.6	0.7	0.5	0.5	0.3	0.3	0.3
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Romania	ROU	..	..	..	..	..	..	..	..	..	..	..	..	6.1	4.4	3.4	2.8	3.6	4.4	4.8	5.2	5.3	4.2	2.8	2.7	2
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Russian Federation	RUS	..	..	4.3	1.9	2.7	4.8	3.5	2.3	1.5	1.6	1.3	1	0.7	0.4	0.2	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Rwanda	RWA	..	..	..	..	..	..	57.9	..	..	..	..	51.1	..	..	..	..	46	..	..	42	..	..	41	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Samoa	WSM	..	..	..	..	..	..	..	..	2.9	..	..	..	..	..	1.7	..	..	..	..	2	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Sao Tome and Principe	STP	..	..	..	..	..	..	25.5	..	..	..	..	..	..	..	..	..	28	..	..	..	..	..	..	28.7	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Senegal	SEN	42.3	..	..	..	..	..	..	36.3	..	..	..	29.8	..	..	..	..	..	30.1	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Serbia	SRB	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4.9	5.4	6.3	6	5.9	4.8	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Seychelles	SYC	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	..	..	..	..	0.4
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Sierra Leone	SLE	..	..	..	..	..	..	..	..	..	52.9	..	..	..	..	..	..	..	39.4	..	..	..	..	..	..	32.2
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Slovak Republic	SVK	..	..	..	..	..	..	..	..	..	..	0.1	0.2	0.2	0.3	0.3	0.3	0.4	0.3	0.3	0.3	0.6	0.5	1.3	..	0.2
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Slovenia	SVN	..	..	..	..	..	..	..	..	..	..	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Solomon Islands	SLB	..	..	..	..	..	..	..	..	..	..	..	36.6	..	..	..	..	..	..	21	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	South Africa	ZAF	..	..	27.6	..	..	..	25.9	..	..	..	..	20.4	..	..	13.8	..	13.6	..	..	..	15.1	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	South Sudan	SSD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	34.9	..	..	..	..	..	..	59	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Spain	ESP	..	1.1	..	..	..	..	0.4	..	..	0.7	0.8	0.7	0.8	0.4	0.5	0.7	0.7	1.1	0.9	1	0.8	0.9	1	0.7	0.8
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Sri Lanka	LKA	..	11.5	..	..	..	..	..	..	10.3	..	..	..	6.1	..	..	4.3	..	..	3.4	..	..	..	2.1	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	St. Lucia	LCA	..	27.6	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4.6	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Sudan	SDN	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14.2	..	..	..	..	13	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Suriname	SUR	..	..	..	..	..	20.4	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Sweden	SWE	..	0.2	..	..	..	..	0	..	..	0.3	0.4	0.9	0.3	0.4	0.5	0.4	0.5	0.5	0.4	0.6	0.4	0.4	0.3	0.2	0.7
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Switzerland	CHE	..	..	..	..	..	..	0.1	..	0	..	..	..	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Syrian Arab Republic	SYR	..	..	3.6	..	..	..	..	..	..	2	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Tajikistan	TJK	..	..	..	..	..	38.1	..	..	..	23.2	13.7	..	..	9.6	..	5.2	..	..	..	..	..	4.5	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Tanzania	TZA	..	..	..	..	..	..	65	..	..	..	..	..	..	44	..	..	..	36.5	..	..	..	..	..	36	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Thailand	THA	4.4	..	3.2	..	2.8	4	4	..	2.3	..	1.6	..	1.2	0.7	0.5	0.5	0.4	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.1
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Timor-Leste	TLS	..	..	..	..	..	..	..	29.5	..	..	..	..	..	29.9	..	..	..	..	..	..	21.2	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Togo	TGO	..	..	..	..	..	..	..	..	..	..	..	..	41	..	..	..	..	41.3	..	..	..	38.1	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Tonga	TON	..	..	..	..	..	..	2.4	..	..	..	..	..	..	..	..	1.9	..	..	..	..	..	1.5	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Trinidad and Tobago	TTO	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Tunisia	TUN	..	10.6	..	..	..	..	6.5	..	..	..	..	4	..	..	..	..	2.3	..	..	..	..	0.6	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Turkey	TUR	3.7	..	..	..	..	..	..	..	2.9	4	2.5	2.6	1.9	1.5	1.2	1.1	1	0.8	0.6	0.5	0.4	0.5	0.3	0.3	0.2
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Turkmenistan	TKM	..	..	..	..	36.9	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Tuvalu	TUV	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4.3	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Uganda	UGA	..	..	46.1	..	..	49.3	..	..	47.4	..	..	41.5	..	..	..	34	..	..	28.1	..	..	..	31.1	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Ukraine	UKR	..	5.3	5.8	..	..	..	..	..	2.2	1.1	0.9	0.4	0.2	0.2	0	0.1	0	0	0	0	0	0.1	0.1	0	0.1
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	United Kingdom	GBR	0.3	0.7	..	..	..	0.2	0.3	0.3	0.3	0.4	0.3	0.5	0.2	0.3	0.3	0.1	0.2	0.3	0.2	0.1	0.2	0.2	0.2	0.3	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	United States	USA	0.5	0.5	0.6	0.6	0.7	0.6	0.6	0.8	0.7	0.9	0.9	0.9	0.9	0.9	1	0.8	1	0.9	1	0.9	1.1	1	1	1.1	1
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Uruguay	URY	..	0.5	0.6	0.5	0.6	..	0.6	0.6	0.7	1	1.3	1.1	0.8	0.6	0.4	0.4	0.3	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Uzbekistan	UZB	..	..	..	..	32.4	..	44.6	..	41.1	44.1	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Vanuatu	VUT	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12.7	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Venezuela, RB	VEN	..	8.6	..	..	9.2	10.2	..	8.9	13.9	16.7	14.2	12.6	6.4	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Vietnam	VNM	..	..	..	26	..	..	..	..	28.7	..	21.8	..	17.2	..	14.2	..	4.6	..	3.2	..	2.9	..	2.1	..	1.8
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	West Bank and Gaza	PSE	..	..	..	..	..	..	..	..	..	..	1.2	1	0.6	1.9	..	0.5	0.6	0.5	..	..	..	..	1	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Yemen, Rep.	YEM	..	..	..	..	7.7	..	..	..	..	..	..	10.4	..	..	..	..	..	..	..	..	16.7	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Zambia	ZMB	..	..	32.8	..	33.6	..	..	..	38.5	..	44.7	..	47.7	..	..	..	49.8	..	..	..	..	45.7	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Zimbabwe	ZWE	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	17.2	..	..	..	..	..	25.4	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	East Asia & Pacific	EAS	36	33.2	30.7	30.5	31.2	29.1	27.1	25.7	23.2	21	18.7	15.7	15.2	13.6	12.8	11.5	9.8	8	6.9	4.3	3.6	2.9	2.4	2	1.6
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Europe & Central Asia	ECS	6.9	6.2	6.4	5.5	5.5	7.3	6.5	5.8	5.1	5.1	4.3	4.1	3.5	2.9	2.5	2.3	2.2	2	1.9	1.7	1.8	1.6	1.4	1.4	1.2
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Fragile and conflict affected situations	FCS	..	45	44.4	43.7	..	42.5	..	40.5	39.1	38.8	36.8	35.8	34.7	33.7	32.8	32.6	31.1	29.9	28.4	28.1	27.2	28.5	29	29.2	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	High income	HIC	..	..	0.7	..	..	0.5	..	..	0.6	..	..	0.6	..	..	0.5	..	0.6	0.6	0.5	0.6	..	0.6	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	IDA countries classified as fragile situations	DFS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	IDA total	IDA	42.3	41.2	39.9	39.5	39.8	39.5	39.4	38.6	37.9	37.4	35.3	33.6	32.7	31.5	30.6	30.1	28.9	27.8	26.6	26.2	25.3	25.3	25.1	24.6	23.9
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Latin America & Caribbean	LCN	11.6	11.8	13.1	12.4	11.8	11.9	11	10.8	10.2	9.9	9	8.5	7	6.6	6.2	5.9	5.4	5	4.2	3.8	3.6	3.4	3.4	3.4	3.3
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Low & middle income	LMY	30.6	29.3	28.1	27.9	28	27.3	26.3	25.6	24.5	23.6	22.1	20.5	19.8	18.8	18.2	17.5	16.2	14.6	13.6	12.3	11.6	11.1	10.6	10.1	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Low income	LIC	..	49.8	48.7	47.9	47.7	47.2	46.8	45.7	45.5	45.6	43.2	41.7	40.9	39.7	38.3	38.4	37.4	36.7	35.6	35	34.6	35.2	35.3	35.1	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Lower middle income	LMC	32.5	31.9	30.9	..	..	..	..	..	29.3	28.6	27.6	26.4	25.6	24.6	23.9	23.2	21.4	19.1	18	17	15.9	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Middle East & North Africa	MEA	7.6	7.8	7.5	6.8	5.7	5.2	4.9	4.7	4.8	5.7	4.8	4.4	4.2	4	3.9	3.5	3.1	3.1	3	2.9	3.2	4.4	5.1	5.9	6.5
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Middle income	MIC	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	South Asia	SAS	34	33.1	32.1	..	..	..	..	..	30.8	30.3	29.4	27.9	27.3	26.1	25.4	24.7	22.7	19.6	18.3	17	15.7	..	..	..	..
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Sub-Saharan Africa	SSF	46.3	46	45.2	44.8	44.8	44.7	44.6	43.8	42.8	42.5	40.8	39.7	38.9	38.1	37.3	37.3	36.3	34.9	33.8	33.4	32.6	32.3	32.3	31.9	31.3
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	Upper middle income	UMC	26.4	24.5	23	22.8	23.2	21.9	20.2	19.1	17.1	15.8	13.9	11.7	11.1	10	9.4	8.5	7.5	6.1	5.3	3.4	3	2.5	2.2	1.9	1.7
Poverty gap at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC.GP	World	WLD	25	23.9	23.1	22.9	23	22.4	21.7	21.1	20.3	19.6	18.3	17	16.5	15.7	15.2	14.6	13.5	12.1	11.4	10.3	9.8	9.3	8.9	8.5	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Afghanistan	AFG	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Albania	ALB	..	..	12.8	..	..	..	..	..	15.1	..	..	10.6	..	..	7.4	..	..	..	8.6	..	11.7	9.7	10	9.8	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Algeria	DZA	..	20.2	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6.5	..	..	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Angola	AGO	..	..	..	..	..	..	47.3	..	..	..	..	..	..	..	46.2	..	..	..	..	..	..	..	..	..	56.6
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Argentina	ARG	7.2	9.8	11	10.3	11.3	11.7	13.4	17.2	24.9	14.8	12	9.8	7.8	6.9	6.4	5.7	4.8	3.7	3.6	3.4	3.7	..	3.7	3.2	4.1
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Armenia	ARM	..	..	..	..	..	34.7	..	36.7	34.3	31.9	25.4	20.1	17.3	14.5	12.5	15.8	16.1	15	13.8	13.5	13.2	11.6	11.3	11	11.5
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Australia	AUS	..	1	..	..	..	..	..	0.9	..	1.1	0.7	..	..	..	0.5	..	0.5	..	..	..	0.6	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Austria	AUT	0.5	1.3	..	0.4	..	..	0.2	..	..	0.4	0.1	0.2	0.2	0.5	0.5	0.7	0.5	0.6	0.7	0.4	0.3	0.7	0.8	0.4	0.6
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Azerbaijan	AZE	..	22.9	..	..	..	..	..	16.8	2.5	2.9	1.8	0.8	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Bangladesh	BGD	..	52.6	..	..	..	..	51.1	..	..	..	..	46.6	..	..	..	..	43	..	..	..	..	..	38.8	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Belarus	BLR	..	..	..	..	32.3	29.4	24.7	15.9	12.7	10.9	6.5	3.9	2.4	1.6	1.1	1.1	0.6	0.4	0.2	0.1	0.1	0.1	0.1	0.1	0.1
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Belgium	BEL	..	0.6	..	0.5	..	..	0.5	..	..	0.4	0.1	0.3	0.2	0.2	0.1	0.1	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.2	0.1
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Belize	BLZ	22	..	26.3	28.3	26.7	23.8	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Benin	BEN	..	..	..	..	..	..	..	..	..	59.2	..	..	..	..	..	..	..	57.8	..	..	..	59.3	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Bhutan	BTN	..	..	..	..	..	..	..	..	..	34.6	..	..	..	25	..	..	..	..	14.5	..	..	..	..	12.3	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Bolivia	BOL	..	..	..	27.3	..	32.4	36.2	31.1	32.7	..	24.4	27.4	24.2	22.1	17.9	15.9	..	12.3	12.9	11.3	10.5	10.7	11.7	11	9.6
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Bosnia and Herzegovina	BIH	..	..	..	..	..	..	..	1.9	..	..	0.9	..	..	0.6	..	..	..	0.9	..	..	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Botswana	BWA	..	..	..	..	..	..	..	..	37.5	..	..	..	..	..	..	27.6	..	..	..	..	..	28.1	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Brazil	BRA	..	21.7	22.3	22.4	21.2	22.1	..	19.4	18.5	19.2	17.9	16.6	14.4	13.6	11.8	11.1	..	9.5	8.1	7.2	6.4	6.9	7.9	8.2	8.1
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Bulgaria	BGR	..	..	..	..	..	..	..	..	..	..	..	..	9.9	4.4	3.2	3	4.1	4.7	4.6	4.6	3.6	5.3	3.9	3	2.3
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Burkina Faso	BFA	77.8	..	..	..	75.1	..	..	..	..	62	..	..	..	..	..	61.2	..	..	..	..	55	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Burundi	BDI	..	..	..	..	78.1	..	..	..	..	..	..	..	72.7	..	..	..	..	..	..	69.8	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Cabo Verde	CPV	..	..	..	..	..	..	..	29.9	..	..	..	..	..	21.9	..	..	..	..	..	..	..	14.5	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Cambodia	KHM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Cameroon	CMR	..	..	56.4	..	..	..	..	42	..	..	..	..	..	44.2	..	..	..	..	..	..	36.8	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Canada	CAN	0.3	..	..	0.5	0.5	..	0.4	..	..	..	0.3	..	..	0.2	..	..	0.3	..	0.3	0.4	0.4	0.4	0.4	0.4	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Central African Republic	CAF	..	..	..	..	..	..	..	..	..	..	..	..	..	..	66.3	..	..	..	..	..	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Chad	TCD	..	..	..	..	..	..	..	..	..	64	..	..	..	..	..	..	..	50.5	..	..	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Chile	CHL	13.8	..	11.1	..	10.3	..	11.3	..	..	10.9	..	..	5.8	..	..	4.5	..	3.3	..	1.7	..	1.3	..	0.9	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	China	CHN	..	..	54	..	..	51.4	..	..	43.9	..	..	33.5	..	..	27.6	..	23.1	19.8	17.3	11.7	9.7	7.8	6.5	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Colombia	COL	..	..	27.7	..	..	30.8	27.6	31.7	23.9	23.1	22.5	20.2	..	..	19.2	17.9	16.1	14.4	13.8	12.8	11.8	11.1	10.9	10.4	10.5
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Comoros	COM	..	..	..	..	..	..	..	..	..	..	29.8	..	..	..	..	..	..	..	..	..	32.2	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Congo, Dem. Rep.	COD	..	..	..	..	..	..	..	..	..	..	86.6	..	..	..	..	..	..	..	73.8	..	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Congo, Rep.	COG	..	..	..	..	..	..	..	..	..	..	..	59.1	..	..	..	..	..	49.6	..	..	..	..	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Costa Rica	CRI	12.8	13.5	15.2	13.1	10.8	12.5	12.8	9.7	9.2	9	8.9	7.6	7.5	5.5	5.4	5.5	4.4	4.6	4.3	4.3	4	4	3.7	3.1	3.8
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Cote d'Ivoire	CIV	..	39.3	..	..	43.9	..	..	..	43.2	..	..	..	..	..	45	..	..	..	..	..	..	44.8	..	..	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Croatia	HRV	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1.7	2.2	2.1	2.2	2.3	2	1.5	1.4	1.2	0.9
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Cyprus	CYP	..	..	..	..	..	..	..	..	..	..	0.1	0	0	0	0	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0	0.1
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Czech Republic	CZE	..	..	0.3	..	..	..	..	..	0.1	..	0.2	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.2	0.1	0.1	0	0.1	0.1	0.1
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Denmark	DNK	..	0.1	..	..	..	..	0.1	..	..	0.3	0.3	0.3	0.2	0.2	0.3	0.5	0.1	0.1	0	0.3	0.2	0.2	0.3	0.2	0.2
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Djibouti	DJI	..	..	..	..	..	..	..	..	36.9	..	..	..	..	..	..	..	..	..	32.3	36	..	..	..	32.2	..
Poverty gap at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC.GP	Dominican Republic	DOM	..	..	12.2	11.6	..	..	11.7	11.1	12.3	15.3	19.1	14.3	12.6	12.3	12.5	11.3	11	10.4	10.5	9.9	8.2	6.9	6.3	4.4	3.6
